Gene symbol,Count All BIOGRID Interactions,Gene name,Relation to ALS,Count Left Interactions,Count Right Interactions
MYH9,7.0,,,3.0,4.0
PPIB,7.0,,,5.0,2.0
ARID1A,7.0,,,0.0,7.0
SUV39H1,7.0,,,4.0,3.0
RTCB,7.0,,,0.0,7.0
G3BP2,7.0,,,0.0,7.0
TKT,7.0,,,2.0,5.0
SPTBN1,7.0,,,1.0,6.0
MRPS9,7.0,,,0.0,7.0
PRKCA,7.0,,,5.0,2.0
MIR7-1,7.0,,,7.0,0.0
KPNA2,7.0,,,0.0,7.0
PPP5C,7.0,,,5.0,2.0
CPSF7,7.0,,,1.0,6.0
PCBP2,7.0,,,0.0,7.0
SYNE1,7.0,spectrin repeat containing nuclear envelope protein 1,Tenuous,2.0,5.0
MMGT1,7.0,,,7.0,0.0
PDCD4,7.0,,,1.0,6.0
CYSRT1,7.0,,,2.0,5.0
CCT7,7.0,,,0.0,7.0
RPL3,7.0,,,1.0,6.0
RPS2,7.0,,,2.0,5.0
RNF11,7.0,,,6.0,1.0
SLC25A5,7.0,,,1.0,6.0
RNH1,7.0,,,4.0,3.0
LARP1,7.0,,,0.0,7.0
PARP1,7.0,,,1.0,6.0
CDC42,7.0,,,4.0,3.0
DCPS,7.0,,,7.0,0.0
TRIM23,7.0,,,6.0,1.0
CDC6,7.0,,,3.0,4.0
GLRX3,7.0,,,3.0,4.0
SFXN1,7.0,,,2.0,5.0
TERF2IP,7.0,,,7.0,0.0
LGALS3,7.0,,,3.0,4.0
CHTOP,7.0,,,2.0,5.0
TSSC1,7.0,,,4.0,3.0
PSMA4,7.0,,,3.0,4.0
STX12,7.0,,,4.0,3.0
GRWD1,7.0,,,5.0,2.0
ZFAND2B,7.0,,,5.0,2.0
EEF1A1,7.0,,,2.0,5.0
NCBP1,7.0,,,2.0,5.0
RNF19A,7.0,"ring finger protein 19A, RBR E3 ubiquitin protein ligase",Tenuous,5.0,2.0
PSMB1,7.0,,,3.0,4.0
MTA2,7.0,,,1.0,6.0
STRAP,7.0,,,3.0,4.0
RB1,7.0,,,6.0,1.0
ILK,7.0,,,6.0,1.0
SUMO1,7.0,,,2.0,5.0
HSCB,7.0,,,7.0,0.0
TXN,7.0,,,3.0,4.0
SLC25A1,7.0,,,3.0,4.0
FBXW7,7.0,,,3.0,4.0
RASA1,7.0,,,2.0,5.0
STIP1,7.0,,,0.0,7.0
SOCS6,7.0,,,4.0,3.0
GNB2L1,7.0,,,0.0,7.0
DLST,7.0,,,6.0,1.0
DNMT3A,7.0,DNA methyltransferase 3 alpha,Moderate evidence,5.0,2.0
WDYHV1,7.0,,,2.0,5.0
PAX6,7.0,,,3.0,4.0
HIVEP1,6.0,,,1.0,5.0
LSM12,6.0,,,1.0,5.0
DHX30,6.0,,,0.0,6.0
RAF1,6.0,,,3.0,3.0
CCT2,6.0,,,2.0,4.0
ADRM1,6.0,,,2.0,4.0
HOOK3,6.0,,,6.0,0.0
KLC1,6.0,,,4.0,2.0
HOXA1,6.0,,,1.0,5.0
CCNT1,6.0,,,2.0,4.0
HK1,6.0,,,4.0,2.0
SGK1,6.0,,,5.0,1.0
PSMC5,6.0,,,1.0,5.0
TP63,6.0,,,5.0,1.0
EIF3H,6.0,,,0.0,6.0
RAD9A,6.0,,,2.0,4.0
PRDX6,6.0,,,1.0,5.0
LINC01554,6.0,,,6.0,0.0
AK2,6.0,,,1.0,5.0
DUSP9,6.0,,,5.0,1.0
CD44,6.0,,,4.0,2.0
RAB3GAP1,6.0,,,1.0,5.0
LONP1,6.0,,,2.0,4.0
POLR2B,6.0,,,2.0,4.0
EFCAB6,6.0,,,3.0,3.0
CCDC53,6.0,,,1.0,5.0
AHCYL1,6.0,,,5.0,1.0
SKAP1,6.0,,,6.0,0.0
SMAD4,6.0,,,2.0,4.0
USP10,6.0,,,1.0,5.0
PRPS1,6.0,,,3.0,3.0
KDM1A,6.0,,,0.0,6.0
LETM1,6.0,,,1.0,5.0
DYRK1A,6.0,,,6.0,0.0
RAB11A,6.0,,,5.0,1.0
EEF1G,6.0,,,0.0,6.0
SLC25A3,6.0,,,3.0,3.0
AGR3,6.0,,,2.0,4.0
CCNB1,6.0,,,3.0,3.0
AGO2,6.0,,,0.0,6.0
HSPE1,6.0,,,1.0,5.0
SMARCA5,6.0,,,2.0,4.0
DZIP3,6.0,,,2.0,4.0
UQCRC2,6.0,,,2.0,4.0
RAB25,6.0,,,5.0,1.0
SPTAN1,6.0,,,2.0,4.0
SMC3,6.0,,,3.0,3.0
KPNB1,6.0,,,1.0,5.0
UNC119,6.0,,,2.0,4.0
DYNLRB1,6.0,,,3.0,3.0
SKP2,6.0,,,4.0,2.0
UNC93B1,6.0,,,6.0,0.0
SMAD9,6.0,,,5.0,1.0
SRRM2,6.0,,,5.0,1.0
KHDRBS2,6.0,,,4.0,2.0
PPIE,6.0,,,6.0,0.0
CDC23,6.0,,,3.0,3.0
R3HDM2,6.0,,,3.0,3.0
PNMA1,6.0,,,2.0,4.0
FMR1,6.0,,,3.0,3.0
PAK6,6.0,,,1.0,5.0
BCL2L1,6.0,,,3.0,3.0
APOE,6.0,apolipoprotein E,Tenuous,3.0,3.0
PAF1,6.0,,,2.0,4.0
IQCB1,6.0,,,5.0,1.0
DCAF6,6.0,,,3.0,3.0
RUNX1,6.0,,,5.0,1.0
BCAR1,6.0,,,4.0,2.0
IGF1R,6.0,,,1.0,5.0
CSTF2,6.0,,,5.0,1.0
PABPN1,6.0,,,3.0,3.0
NCF2,6.0,,,3.0,3.0
OTUB1,6.0,,,4.0,2.0
TGM2,6.0,,,2.0,4.0
NCOA6,6.0,,,3.0,3.0
RPL10,6.0,,,1.0,5.0
RPTOR,6.0,,,2.0,4.0
MYBBP1A,6.0,,,1.0,5.0
TIA1,6.0,TIA1 cytotoxic granule associated RNA binding protein,Tenuous,3.0,3.0
IRAK1,6.0,,,4.0,2.0
TOMM20,6.0,,,3.0,3.0
GAN,6.0,,,6.0,0.0
CAPZB,6.0,,,2.0,4.0
MPHOSPH8,6.0,,,3.0,3.0
PCMT1,6.0,,,0.0,6.0
TAB2,6.0,,,2.0,4.0
PTCH1,6.0,,,5.0,1.0
MRPS22,6.0,,,1.0,5.0
SAP30BP,6.0,,,0.0,6.0
MTUS2,6.0,,,3.0,3.0
APC,6.0,,,5.0,1.0
RNF185,6.0,,,6.0,0.0
FZR1,6.0,,,2.0,4.0
BID,6.0,,,3.0,3.0
MTA3,6.0,,,3.0,3.0
QARS,6.0,,,2.0,4.0
BCLAF1,6.0,,,0.0,6.0
FAM104A,6.0,,,1.0,5.0
NDN,6.0,,,6.0,0.0
GBAS,6.0,,,2.0,4.0
FLOT1,6.0,,,2.0,4.0
ATP2A2,6.0,,,2.0,4.0
FAM168A,6.0,,,4.0,2.0
ZBTB7A,6.0,,,4.0,2.0
NUB1,6.0,,,5.0,1.0
TFCP2,6.0,,,5.0,1.0
NME2,6.0,,,2.0,4.0
NSF,6.0,,,3.0,3.0
SP1,6.0,,,4.0,2.0
UBE2E1,6.0,,,3.0,3.0
TCP1,6.0,,,0.0,6.0
ZBTB17,6.0,,,5.0,1.0
ATAD3A,6.0,,,1.0,5.0
NOP56,6.0,,,1.0,5.0
TERF1,6.0,,,6.0,0.0
NOTCH2NL,6.0,,,0.0,6.0
RPL7,6.0,,,0.0,6.0
RPL7A,6.0,,,0.0,6.0
FHL2,6.0,,,3.0,3.0
AATF,6.0,,,3.0,3.0
FHL3,6.0,,,6.0,0.0
NEFM,6.0,,,2.0,4.0
ATXN7,6.0,,,4.0,2.0
ZC3H7A,6.0,,,5.0,1.0
TBC1D17,6.0,,,0.0,6.0
OAT,6.0,,,1.0,5.0
XRCC1,6.0,,,2.0,4.0
NEDD4,6.0,,,3.0,3.0
RPL14,6.0,,,0.0,6.0
RPS7,6.0,,,0.0,6.0
RPS3,6.0,,,0.0,6.0
NEK4,6.0,,,6.0,0.0
ATP6V1A,6.0,,,2.0,4.0
FKBP4,6.0,,,1.0,5.0
TGFBR1,6.0,,,3.0,3.0
TGFB1I1,6.0,,,0.0,6.0
NUP107,6.0,,,3.0,3.0
RPS6,6.0,,,0.0,6.0
GAR1,6.0,,,4.0,2.0
ISG15,6.0,,,4.0,2.0
ISLR,6.0,,,6.0,0.0
RFC4,6.0,,,1.0,5.0
SERPINI2,6.0,,,4.0,2.0
HERC3,6.0,,,3.0,3.0
PKN1,6.0,,,4.0,2.0
RPL8,6.0,,,0.0,6.0
MCM3,6.0,,,0.0,6.0
MED14,6.0,,,1.0,5.0
CHEK2,6.0,,,4.0,2.0
HDAC5,6.0,,,4.0,2.0
ALG13,6.0,,,2.0,4.0
C1orf94,6.0,,,2.0,4.0
TTN,6.0,,,1.0,5.0
ST7,6.0,,,6.0,0.0
COMMD1,6.0,,,2.0,4.0
SDHA,6.0,,,5.0,1.0
HAP1,6.0,,,6.0,0.0
COMTD1,6.0,,,4.0,2.0
VCL,6.0,,,0.0,6.0
ALDOA,6.0,,,1.0,5.0
MIR128-1,6.0,,,6.0,0.0
CALR,6.0,,,1.0,5.0
RBM25,6.0,,,3.0,3.0
MAP2,6.0,,,1.0,5.0
SF3B4,6.0,,,3.0,3.0
SRSF5,6.0,,,2.0,4.0
SF3B3,6.0,,,1.0,5.0
CAMK2A,6.0,,,5.0,1.0
SF3B1,6.0,,,1.0,5.0
EIF4G1,6.0,,,1.0,5.0
HINT1,6.0,,,2.0,4.0
ELP2,6.0,,,3.0,3.0
SSBP1,6.0,,,2.0,4.0
CAD,6.0,,,1.0,5.0
HIST1H2AB,6.0,,,3.0,3.0
CNOT2,6.0,,,3.0,3.0
MAPKAPK5,6.0,,,3.0,3.0
MAPRE1,6.0,,,3.0,3.0
HADHA,6.0,,,0.0,6.0
ICAM1,6.0,,,6.0,0.0
MIR138-2,6.0,,,5.0,1.0
MIR93,6.0,,,6.0,0.0
MIR29B2,6.0,,,5.0,1.0
EPRS,6.0,,,1.0,5.0
SUGP2,6.0,,,0.0,6.0
MIR34B,6.0,,,6.0,0.0
CPSF6,6.0,,,0.0,6.0
ERBB3,6.0,,,6.0,0.0
GIGYF2,6.0,,,2.0,4.0
MIR92A2,6.0,,,6.0,0.0
SUV39H2,6.0,,,1.0,5.0
MIR29A,6.0,,,6.0,0.0
CRK,6.0,,,0.0,6.0
WDR20,6.0,,,4.0,2.0
PTBP2,6.0,,,3.0,3.0
CRY2,6.0,,,5.0,1.0
MIRLET7G,6.0,,,6.0,0.0
CRYAB,6.0,,,3.0,3.0
MKI67,6.0,,,5.0,1.0
SYK,6.0,,,3.0,3.0
GOLGA2,6.0,,,1.0,5.0
ACOT7,6.0,,,3.0,3.0
PSMD9,6.0,,,4.0,2.0
MIR221,6.0,,,5.0,1.0
SNRPD3,6.0,,,0.0,6.0
SNRPF,6.0,,,1.0,5.0
MIR205,6.0,,,6.0,0.0
MIR16-2,6.0,,,6.0,0.0
MIR18A,6.0,,,5.0,1.0
SNRPE,6.0,,,1.0,5.0
GSN,6.0,,,1.0,5.0
ABI1,6.0,,,4.0,2.0
MIR222,6.0,,,5.0,1.0
ABI2,6.0,,,6.0,0.0
TOMM34,5.0,,,4.0,1.0
CHCHD2,5.0,,,3.0,2.0
IFI16,5.0,,,5.0,0.0
DST,5.0,,,1.0,4.0
TOP1,5.0,,,2.0,3.0
TNKS2,5.0,,,2.0,3.0
DSTN,5.0,,,2.0,3.0
DNAJB1,5.0,,,1.0,4.0
IGF2R,5.0,,,0.0,5.0
TOMM22,5.0,,,3.0,2.0
IFIT3,5.0,,,4.0,1.0
TNIK,5.0,,,2.0,3.0
DSP,5.0,,,1.0,4.0
HYOU1,5.0,,,1.0,4.0
CYC1,5.0,,,2.0,3.0
DTNB,5.0,,,4.0,1.0
TAF1,5.0,,,1.0,4.0
EZR,5.0,,,3.0,2.0
TAF7,5.0,,,1.0,4.0
CSTF2T,5.0,,,3.0,2.0
CSTF1,5.0,,,3.0,2.0
TRIP4,5.0,,,4.0,1.0
TRIP6,5.0,,,2.0,3.0
EVL,5.0,,,2.0,3.0
FXR2,5.0,,,3.0,2.0
TRAP1,5.0,,,0.0,5.0
TGOLN2,5.0,,,5.0,0.0
CSNK1A1,5.0,,,5.0,0.0
ESYT2,5.0,,,0.0,5.0
TIMM44,5.0,,,0.0,5.0
DCP2,5.0,,,5.0,0.0
GADD45GIP1,5.0,,,0.0,5.0
DCTN3,5.0,,,2.0,3.0
GBF1,5.0,,,4.0,1.0
SVIL,5.0,,,1.0,4.0
F2R,5.0,,,3.0,2.0
DAZL,5.0,,,5.0,0.0
HSPA9,5.0,,,0.0,5.0
TFAP2A,5.0,,,1.0,4.0
TDG,5.0,,,2.0,3.0
FAM98A,5.0,,,1.0,4.0
FAS,5.0,,,3.0,2.0
FAM46B,5.0,,,1.0,4.0
TCF7L2,5.0,,,2.0,3.0
FBXO25,5.0,,,5.0,0.0
FBXO7,5.0,,,5.0,0.0
TRIM55,5.0,,,5.0,0.0
FEZ1,5.0,,,1.0,4.0
DAZAP1,5.0,,,3.0,2.0
CTSD,5.0,,,1.0,4.0
FAM120C,5.0,,,4.0,1.0
CTSB,5.0,,,3.0,2.0
TRIM13,5.0,,,5.0,0.0
FAM105A,5.0,,,5.0,0.0
FKBP5,5.0,,,3.0,2.0
FLNB,5.0,,,3.0,2.0
FLT1,5.0,,,2.0,3.0
GEMIN6,5.0,,,2.0,3.0
GEMIN7,5.0,,,3.0,2.0
GFAP,5.0,,,1.0,4.0
TPM1,5.0,,,0.0,5.0
EIF4A3,5.0,,,2.0,3.0
DES,5.0,,,2.0,3.0
TPP1,5.0,,,4.0,1.0
EFEMP2,5.0,,,0.0,5.0
HLA-DPA1,5.0,,,5.0,0.0
SRRT,5.0,,,0.0,5.0
HMGA1,5.0,,,1.0,4.0
HMGB1,5.0,,,1.0,4.0
HNRNPA1L2,5.0,,,0.0,5.0
GHITM,5.0,,,1.0,4.0
TXLNG,5.0,,,2.0,3.0
HSD17B10,5.0,,,4.0,1.0
HSD17B12,5.0,,,1.0,4.0
DHX36,5.0,,,0.0,5.0
SPRED2,5.0,,,4.0,1.0
HSP90B1,5.0,,,0.0,5.0
DVL2,5.0,,,3.0,2.0
DUX4,5.0,,,5.0,0.0
SSB,5.0,,,0.0,5.0
TUBB4B,5.0,,,1.0,4.0
HIST1H1E,5.0,,,3.0,2.0
DDX58,5.0,,,3.0,2.0
GORASP2,5.0,,,1.0,4.0
CPEB4,5.0,,,3.0,2.0
TLE3,5.0,,,0.0,5.0
COX4I1,5.0,,,2.0,3.0
GRSF1,5.0,,,4.0,1.0
GSK3A,5.0,,,4.0,1.0
GSTP1,5.0,,,1.0,4.0
GTF2I,5.0,,,0.0,5.0
GZMK,5.0,,,4.0,1.0
COPS2,5.0,,,2.0,3.0
H2AFV,5.0,,,0.0,5.0
STAM2,5.0,,,3.0,2.0
COL1A2,5.0,,,3.0,2.0
ENO3,5.0,,,1.0,4.0
HELLS,5.0,,,2.0,3.0
HELZ,5.0,,,2.0,3.0
HIC1,5.0,,,3.0,2.0
MIR143,5.0,,,5.0,0.0
DNAJB6,5.0,,,0.0,5.0
MUTYH,5.0,,,3.0,2.0
MED4,5.0,,,3.0,2.0
MIR451A,5.0,,,5.0,0.0
MIR429,5.0,,,5.0,0.0
MIR363,5.0,,,5.0,0.0
MIR34C,5.0,,,5.0,0.0
MIR34A,5.0,,,5.0,0.0
RCN1,5.0,,,0.0,5.0
PKN2,5.0,,,3.0,2.0
PKP4,5.0,,,0.0,5.0
MIR31,5.0,,,5.0,0.0
MIR29C,5.0,,,5.0,0.0
MIR29B1,5.0,,,5.0,0.0
MIR25,5.0,,,5.0,0.0
MIR214,5.0,,,5.0,0.0
MIR21,5.0,,,5.0,0.0
PLCG2,5.0,,,1.0,4.0
BTK,5.0,,,3.0,2.0
MIR7-2,5.0,,,5.0,0.0
MIR7-3,5.0,,,5.0,0.0
MIRLET7A3,5.0,,,5.0,0.0
MIRLET7F2,5.0,,,5.0,0.0
MIRLET7F1,5.0,,,5.0,0.0
MIRLET7E,5.0,,,5.0,0.0
MIRLET7D,5.0,,,5.0,0.0
MIRLET7C,5.0,,,5.0,0.0
MIRLET7B,5.0,,,5.0,0.0
MIRLET7A2,5.0,,,5.0,0.0
MIR9-1,5.0,,,5.0,0.0
PICALM,5.0,,,1.0,4.0
MIRLET7A1,5.0,,,5.0,0.0
MIR98,5.0,,,5.0,0.0
MIR92A1,5.0,,,5.0,0.0
MIR9-3,5.0,,,5.0,0.0
MIR9-2,5.0,,,5.0,0.0
MIR20B,5.0,,,5.0,0.0
MIR20A,5.0,,,5.0,0.0
PLD2,5.0,,,3.0,2.0
MIR122,5.0,,,5.0,0.0
RBM39,5.0,,,0.0,5.0
MIR141,5.0,,,5.0,0.0
VPS53,5.0,,,2.0,3.0
MIR140,5.0,,,5.0,0.0
MIR138-1,5.0,,,5.0,0.0
MIR128-2,5.0,,,5.0,0.0
MIR10B,5.0,,,5.0,0.0
MIR155,5.0,,,5.0,0.0
MIR107,5.0,,,5.0,0.0
MIR106B,5.0,,,5.0,0.0
MIR106A,5.0,,,5.0,0.0
MIR1-2,5.0,,,5.0,0.0
MIR1-1,5.0,,,5.0,0.0
VPS28,5.0,,,2.0,3.0
MIR145,5.0,,,5.0,0.0
MIR15A,5.0,,,5.0,0.0
MIR206,5.0,,,5.0,0.0
MIR19B1,5.0,,,5.0,0.0
MIR200C,5.0,,,5.0,0.0
MIR200B,5.0,,,5.0,0.0
MIR200A,5.0,,,5.0,0.0
PLK1,5.0,,,3.0,2.0
MIR19B2,5.0,,,5.0,0.0
VTN,5.0,,,4.0,1.0
PLSCR1,5.0,,,1.0,4.0
MIR15B,5.0,,,5.0,0.0
MIR19A,5.0,,,5.0,0.0
MIR199A2,5.0,,,5.0,0.0
MIR199A1,5.0,,,5.0,0.0
MIR18B,5.0,,,5.0,0.0
ARID5A,5.0,,,1.0,4.0
MIR16-1,5.0,,,5.0,0.0
MIRLET7I,5.0,,,5.0,0.0
SEC16A,5.0,,,3.0,2.0
REST,5.0,,,4.0,1.0
RPS24,5.0,,,0.0,5.0
RPS11,5.0,,,0.0,5.0
ATG13,5.0,,,1.0,4.0
RPS15,5.0,,,0.0,5.0
RPS15A,5.0,,,0.0,5.0
ATN1,5.0,,,4.0,1.0
P2RY6,5.0,,,5.0,0.0
P4HA1,5.0,,,2.0,3.0
NNT,5.0,,,1.0,4.0
RPS25,5.0,,,0.0,5.0
PACSIN1,5.0,,,1.0,4.0
NHLRC2,5.0,,,5.0,0.0
ATP5C1,5.0,,,1.0,4.0
NFX1,5.0,,,5.0,0.0
ZFP36,5.0,,,5.0,0.0
NMRAL1,5.0,,,5.0,0.0
NOD2,5.0,,,4.0,1.0
PAN2,5.0,,,5.0,0.0
NRAS,5.0,,,5.0,0.0
RPL27A,5.0,,,2.0,3.0
NTRK2,5.0,,,3.0,2.0
NUFIP1,5.0,,,5.0,0.0
RPL23,5.0,,,0.0,5.0
NUP155,5.0,,,2.0,3.0
RPL38,5.0,,,1.0,4.0
ARRB2,5.0,,,5.0,0.0
ASNS,5.0,,,2.0,3.0
NR2F1,5.0,,,4.0,1.0
NR0B2,5.0,,,2.0,3.0
RPL9,5.0,,,2.0,3.0
RPL18,5.0,,,0.0,5.0
RPLP0,5.0,,,0.0,5.0
YWHAH,5.0,,,0.0,5.0
RNU1-1,5.0,,,0.0,5.0
RNF6,5.0,,,2.0,3.0
PHGDH,5.0,,,1.0,4.0
PELI1,5.0,,,4.0,1.0
PDIA6,5.0,,,0.0,5.0
WIPI2,5.0,,,0.0,5.0
SAE1,5.0,,,0.0,5.0
ANKZF1,5.0,,,3.0,2.0
RIOK1,5.0,,,4.0,1.0
MRPS27,5.0,,,0.0,5.0
MRPS23,5.0,,,0.0,5.0
PDHB,5.0,,,1.0,4.0
SCARNA22,5.0,,,5.0,0.0
SCD,5.0,,,3.0,2.0
SCLT1,5.0,,,5.0,0.0
SCP2,5.0,,,4.0,1.0
WDR44,5.0,,,1.0,4.0
MLST8,5.0,,,3.0,2.0
UBE2L3,5.0,,,1.0,4.0
NACA,5.0,,,0.0,5.0
PAWR,5.0,,,2.0,3.0
NDUFA8,5.0,,,1.0,4.0
ATP6AP2,5.0,,,3.0,2.0
RPSA,5.0,,,0.0,5.0
NDUFV1,5.0,,,2.0,3.0
NDUFS1,5.0,,,2.0,3.0
APBB1,5.0,,,4.0,1.0
RNF168,5.0,,,1.0,4.0
PBXIP1,5.0,,,1.0,4.0
NACC1,5.0,,,4.0,1.0
NDE1,5.0,,,2.0,3.0
B3GNT2,5.0,,,4.0,1.0
PCM1,5.0,,,4.0,1.0
PCNA,5.0,,,1.0,4.0
ANXA7,5.0,,,2.0,3.0
PDE4DIP,5.0,,,0.0,5.0
SELK,5.0,,,1.0,4.0
MIR17,5.0,,,5.0,0.0
RPL28,5.0,,,1.0,4.0
CCP110,5.0,,,1.0,4.0
RAB3GAP2,5.0,,,0.0,5.0
LMNB2,5.0,,,0.0,5.0
CCNF,5.0,cyclin F,Strong evidence,4.0,1.0
PRPF31,5.0,,,2.0,3.0
ABCE1,5.0,,,4.0,1.0
SNRPA,5.0,,,0.0,5.0
CCNG1,5.0,,,4.0,1.0
ACTG1,5.0,,,1.0,4.0
SHFM1,5.0,,,5.0,0.0
USP54,5.0,,,2.0,3.0
KHSRP,5.0,,,2.0,3.0
LSM14A,5.0,,,3.0,2.0
KRTAP10-7,5.0,,,0.0,5.0
KRTAP10-3,5.0,,,0.0,5.0
KIF11,5.0,,,3.0,2.0
MAGED1,5.0,,,2.0,3.0
CAPRIN1,5.0,,,1.0,4.0
AHSA1,5.0,,,2.0,3.0
KRTAP6-2,5.0,,,1.0,4.0
ACTR10,5.0,,,3.0,2.0
CCDC124,5.0,,,1.0,4.0
ACTR1B,5.0,,,3.0,2.0
PSMC1,5.0,,,0.0,5.0
ZNF638,5.0,,,0.0,5.0
UQCRC1,5.0,,,2.0,3.0
ZNF598,5.0,,,4.0,1.0
CCDC88A,5.0,,,3.0,2.0
PRKCD,5.0,,,4.0,1.0
PSMC4,5.0,,,1.0,4.0
LCK,5.0,,,3.0,2.0
USO1,5.0,,,4.0,1.0
R3HDM1,5.0,,,0.0,5.0
SNAI1,5.0,,,5.0,0.0
LIG4,5.0,,,4.0,1.0
PSPC1,5.0,,,1.0,4.0
CCND3,5.0,,,3.0,2.0
USP2,5.0,,,4.0,1.0
CDIP1,5.0,,,2.0,3.0
SKIV2L2,5.0,,,0.0,5.0
CDKN2A,5.0,,,2.0,3.0
PPP2R4,5.0,,,4.0,1.0
SMC2,5.0,,,0.0,5.0
MAP3K5,5.0,,,3.0,2.0
RBFOX1,5.0,,,5.0,0.0
MCM5,5.0,,,3.0,2.0
VAC14,5.0,,,2.0,3.0
SESN2,5.0,,,3.0,2.0
VCPKMT,5.0,,,3.0,2.0
CCT3,5.0,,,0.0,5.0
SNX6,5.0,,,0.0,5.0
PRPF4,5.0,,,1.0,4.0
SOCS3,5.0,,,1.0,4.0
ZNF746,5.0,zinc finger protein 746,Tenuous,4.0,1.0
INSIG2,5.0,,,4.0,1.0
C9orf41,5.0,,,4.0,1.0
MDH2,5.0,,,1.0,4.0
CCT5,5.0,,,1.0,4.0
CEP63,5.0,,,2.0,3.0
CCT8,5.0,,,0.0,5.0
SMAD2,5.0,,,3.0,2.0
MED12,5.0,,,2.0,3.0
KLHL42,5.0,,,2.0,3.0
MED15,5.0,,,0.0,5.0
VAV2,5.0,,,1.0,4.0
VBP1,5.0,,,3.0,2.0
PTPRA,5.0,,,5.0,0.0
UBR2,5.0,,,0.0,5.0
MAP3K7,5.0,,,2.0,3.0
SF3B2,5.0,,,0.0,5.0
KRT17,5.0,,,4.0,1.0
SF3A3,5.0,,,1.0,4.0
AIMP2,5.0,,,4.0,1.0
MAPK13,5.0,,,4.0,1.0
MAPK14,5.0,,,3.0,2.0
MAPK1IP1L,5.0,,,1.0,4.0
MAU2,5.0,,,3.0,2.0
KRTAP6-1,5.0,,,1.0,4.0
MAPK8IP1,5.0,,,2.0,3.0
PTPRK,5.0,,,3.0,2.0
CACNA1A,5.0,,,4.0,1.0
SETDB1,5.0,,,2.0,3.0
MARK1,5.0,,,5.0,0.0
PSMA2,5.0,,,2.0,3.0
RAB10,4.0,,,1.0,3.0
RAB11B,4.0,,,2.0,2.0
TIMM13,4.0,,,0.0,4.0
PSMD1,4.0,,,1.0,3.0
PRRC2B,4.0,,,0.0,4.0
RNF181,4.0,,,4.0,0.0
PSMA1,4.0,,,3.0,1.0
PATL1,4.0,,,2.0,2.0
OSBPL1A,4.0,,,0.0,4.0
EXOC1,4.0,,,3.0,1.0
FAM118B,4.0,,,2.0,2.0
PTGS1,4.0,,,2.0,2.0
PWP2,4.0,,,1.0,3.0
RPL12,4.0,,,0.0,4.0
RPL13A,4.0,,,0.0,4.0
PTPN9,4.0,,,3.0,1.0
PTRH2,4.0,,,3.0,1.0
NUPL1,4.0,,,2.0,2.0
NUP205,4.0,,,0.0,4.0
DROSHA,4.0,,,0.0,4.0
DNM2,4.0,,,1.0,3.0
PUF60,4.0,,,1.0,3.0
NUFIP2,4.0,,,2.0,2.0
FAM127A,4.0,,,3.0,1.0
TFG,4.0,,,0.0,4.0
DNAJC7,4.0,DnaJ heat shock protein family (Hsp40) member C7,Moderate evidence,0.0,4.0
TNRC6B,4.0,,,2.0,2.0
RPL10A,4.0,,,0.0,4.0
RPGRIP1L,4.0,,,3.0,1.0
PTGIS,4.0,,,1.0,3.0
TNK2,4.0,,,3.0,1.0
PSMD12,4.0,,,1.0,3.0
DPF2,4.0,,,3.0,1.0
PSMD3,4.0,,,0.0,4.0
P2RY12,4.0,,,4.0,0.0
OTX1,4.0,,,0.0,4.0
OSBPL9,4.0,,,1.0,3.0
OSBPL8,4.0,,,0.0,4.0
PTBP3,4.0,,,0.0,4.0
PTCD3,4.0,,,0.0,4.0
OSBPL2,4.0,,,0.0,4.0
DTNBP1,4.0,,,4.0,0.0
OSBP2,4.0,,,0.0,4.0
OSBP,4.0,,,1.0,3.0
OS9,4.0,,,2.0,2.0
QKI,4.0,,,0.0,4.0
RNF166,4.0,,,2.0,2.0
EIF3B,4.0,,,0.0,4.0
RNF128,4.0,,,3.0,1.0
POTEF,4.0,,,0.0,4.0
RBM6,4.0,,,0.0,4.0
RBMS1,4.0,RNA binding motif single stranded interacting protein 1,Tenuous,2.0,2.0
RBPJ,4.0,,,2.0,2.0
RASSF5,4.0,,,0.0,4.0
EMC4,4.0,,,3.0,1.0
EMC8,4.0,,,3.0,1.0
PLA2G16,4.0,,,3.0,1.0
POLR1C,4.0,,,2.0,2.0
POU2F1,4.0,,,3.0,1.0
PPARGC1A,4.0,,,1.0,3.0
RAP1A,4.0,,,0.0,4.0
PPM1A,4.0,,,0.0,4.0
RANBP2,4.0,,,2.0,2.0
E2F1,4.0,,,2.0,2.0
POLR2C,4.0,,,0.0,4.0
RBM10,4.0,,,1.0,3.0
DUSP11,4.0,,,1.0,3.0
EIF3A,4.0,,,0.0,4.0
EIF3E,4.0,,,0.0,4.0
PNN,4.0,,,0.0,4.0
EIF4A2,4.0,,,1.0,3.0
PNKD,4.0,,,4.0,0.0
RBM26,4.0,,,0.0,4.0
POLA1,4.0,,,4.0,0.0
EIF2B2,4.0,,,3.0,1.0
TMEM17,4.0,,,4.0,0.0
POLB,4.0,,,0.0,4.0
TMEM216,4.0,,,4.0,0.0
EHMT1,4.0,,,2.0,2.0
RBM3,4.0,,,1.0,3.0
POLD1,4.0,,,1.0,3.0
RBM12,4.0,,,0.0,4.0
PPM1G,4.0,,,1.0,3.0
PPP1CB,4.0,,,3.0,1.0
ENO2,4.0,,,2.0,2.0
